Text: и, Number: none, Confidence: none, Bbox: none
Text: жизни, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: ему, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: резко, Number: none, Confidence: none, Bbox: none
Text: просыпаться, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Из-за, Number: none, Confidence: none, Bbox: none
Text: повышенного, Number: none, Confidence: none, Bbox: none
Text: артериального, Number: none, Confidence: none, Bbox: none
Text: давления, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: большому, Number: none, Confidence: none, Bbox: none
Text: кругу, Number: none, Confidence: none, Bbox: none
Text: кровообращения, Number: none, Confidence: none, Bbox: none
Text: артерии, Number: none, Confidence: none, Bbox: none
Text: принесут, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: капиллярам, Number: none, Confidence: none, Bbox: none
Text: наличного, Number: none, Confidence: none, Bbox: none
Text: больше, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: Скорость, Number: none, Confidence: none, Bbox: none
Text: тока, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: каки, Number: none, Confidence: none, Bbox: none
Text: малярах, Number: none, Confidence: none, Bbox: none
Text: самая, Number: none, Confidence: none, Bbox: none
Text: низкая, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: приведет, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: настоям, Number: none, Confidence: none, Bbox: none
Text: крови, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отекам, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: ра, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: доминантной, Number: none, Confidence: none, Bbox: none
Text: учена, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: рецессивного, Number: none, Confidence: none, Bbox: none
Text: ина, Number: none, Confidence: none, Bbox: none
Text: фенилкетонурии, Number: none, Confidence: none, Bbox: none
Text: аба, Number: none, Confidence: none, Bbox: none
Text: По, Number: none, Confidence: none, Bbox: none
Text: закону, Number: none, Confidence: none, Bbox: none
Text: хари, Number: none, Confidence: none, Bbox: none
Text: военторга, Number: none, Confidence: none, Bbox: none
Text: рад, Number: none, Confidence: none, Bbox: none
Text: +2pol+q, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: аба, Number: none, Confidence: none, Bbox: none
Text: Пусть, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: рецессивного, Number: none, Confidence: none, Bbox: none
Text: 10000, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 100%, Number: none, Confidence: none, Bbox: none
Text: Тогда, Number: none, Confidence: none, Bbox: none
Text: р-н, Number: none, Confidence: none, Bbox: none
Text: парт-, Number: none, Confidence: none, Bbox: none
Text: (0,99)-, Number: none, Confidence: none, Bbox: none
Text: 0,9801, Number: none, Confidence: none, Bbox: none
Text: 0,9801;, Number: none, Confidence: none, Bbox: none
Text: g(aa)=0,00, Number: none, Confidence: none, Bbox: none
Text: x=g=0,01, Number: none, Confidence: none, Bbox: none
Text: 0,0001, Number: none, Confidence: none, Bbox: none
Text: g(aa)=0,00, Number: none, Confidence: none, Bbox: none
Text: X=g=0,01, Number: none, Confidence: none, Bbox: none
Text: 0,0001, Number: none, Confidence: none, Bbox: none
