Text: выделяет, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: сальное, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: в, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: давление, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: у, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: высоко, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: млекопитающего, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: выше, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: Жирафы, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: в, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: по, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: своей, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: среде, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: ходят, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: а, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: их, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: их, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: голова, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: и, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: шел, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: находятся, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: на, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: большой, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: высоте, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: вызывает, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: высокое, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: артериальное, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: давление, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: своей, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: у, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: паро, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: Дирака, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: афа, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: большая, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: массивности, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: у, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: злоп, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: трость, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: соединительной, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: п, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: ткан, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: вокруг, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: к, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: запил, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: метров, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: так, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: как, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: это, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: млекопитающие, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: которые, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: передвигаются, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: на, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: четырех, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: конечностях, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: из-за, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: этого, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: большая, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: плотность, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: соединительной, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: ткани, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: вокруг, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: капилляров, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: это, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: нормальное, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: явление, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: повышение, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: артерии, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: мерильного, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: давления, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: приходит, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: к, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: растяжению, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: сосудов, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: приводит, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: к, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: стекшем, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: р, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: ра, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: и, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: человека, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: сукон, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: давлена, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: крови, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: по, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: артериям, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: давлен, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: весен, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: летние, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: гони, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: кит, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: кровь, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: копии, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: начинал, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: с, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: с, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: нижних, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: конечностей, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: потому, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: больше, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: подвижности, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: no26, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: Я, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: считаю, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: что, Number: 22, Confidence: 0.46, Bbox: [6.306446075439453, 25.9046688079834, 2296.7734375, 1204.1717529296875]
Text: разделение, Number: 22, Confidence: 0.31, Bbox: [0.0, 1173.8203125, 2302.78857421875, 2543.769287109375]
Text: прежних, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: матери, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: ков, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: на, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: на, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: а, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: мо, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: материку, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: есть, Number: 22, Confidence: 0.31, Bbox: [0.0, 1173.8203125, 2302.78857421875, 2543.769287109375]
Text: сейчас, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: то, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: какой-то, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: комнаты, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: животных, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: оставалось, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: в, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: определенном, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: месте, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: а, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: главное, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: потому, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: что, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: из, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: там, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: были, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: благоприятные, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: условия, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: для, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: для, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: их, Number: 22, Confidence: 0.31, Bbox: [0.0, 1173.8203125, 2302.78857421875, 2543.769287109375]
Text: обитания, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: Если, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: и, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: они, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: переселялись, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: то, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: скорее, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: всего, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: погибали, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: естественным, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: отбором, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: Австралия, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: с, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: востока, Number: 22, Confidence: 0.31, Bbox: [0.0, 1173.8203125, 2302.78857421875, 2543.769287109375]
Text: ближе, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: к, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: южн, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: америке, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: расселение, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: сумчатых, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: животных, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: при, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: движения, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: по, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: материков, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: в, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: в, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: эволюции, Number: 22, Confidence: 0.31, Bbox: [0.0, 1173.8203125, 2302.78857421875, 2543.769287109375]
Text: повышало, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: на, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: на, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: ареалы, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: обитания, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: в, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: мире, Number: 22, Confidence: 0.31, Bbox: [0.0, 1173.8203125, 2302.78857421875, 2543.769287109375]
Text: -с, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: Я, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: считаю, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: что, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: наиболее, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: другой, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: вых, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: именных, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: сущ, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: древние, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: предки, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: совре, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
Text: начатых, Number: 22, Confidence: 0.31, Bbox: [0.0, 1173.8203125, 2302.78857421875, 2543.769287109375]
Text: животных, Number: 25, Confidence: 0.31, Bbox: [7.273210525512695, 1201.9566650390625, 2307.070556640625, 2546.601806640625]
