Text: россии, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: наруш, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: р.кисми/, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: нет, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: бо, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисшим, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гнет, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: измери, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: АВ, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: -де, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: р, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисами, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гнет, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гипербол, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: адепт, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: -де, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: р, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисами, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гнет, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: баев, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: У, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: в, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: бо, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: р, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисшим, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гнем, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: в, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: зуав, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: норм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: р, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисами, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: нет, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гиперизм, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: ответ, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: канонника, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: конины, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: родителей, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: дол, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: пол, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: детей, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: указанны, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: в, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: решение, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: Рождение, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: с, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: нормальным, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: развитием, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: кисами, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: и, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: гипертрихозом, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: первом, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
Text: браке, Number: 28, Confidence: 0.94, Bbox: [15.01745319366455, 17.71495819091797, 2304.16162109375, 2590.0]
