Text: х, Number: 22, Confidence: 0.73, Bbox: [61.1254997253418, 0.0, 2284.611083984375, 1210.5791015625]
Text: которого, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: есть, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: шпортрицу., Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: -де, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: наиболее, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: древнее, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: падкую, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: повышенных, Number: 22, Confidence: 0.38, Bbox: [60.43339920043945, 451.30706787109375, 2244.958984375, 1208.6715087890625]
Text: сумчатых, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: животных, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: в, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: обитали, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: в, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: уютной, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: Америке, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: -с, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: Предел, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: современных, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: начатых, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: были, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: покрыты, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: шерстью, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: а, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: в, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: кастрации, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: высокие, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: температуры, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: no25, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: -с, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: В, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: сонных, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: артерий, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: у, Number: 23, Confidence: 0.34, Bbox: [31.510000228881836, 1189.54931640625, 2293.78076171875, 1800.556396484375]
Text: жирафа, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: высокое, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: артериальное, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: давление, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: так, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: он, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: п, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: находиться, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: в, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: в, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: высоко, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: таких, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: тех, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: технических, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: воздуха, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: и, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: и, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: у, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: нео, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: длинное, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: шел, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: а, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: У, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: штрафов, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: в, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: плоскостях, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: содержательная, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: ткань, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: вокруг, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: напилено, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: плотнее, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: тк, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: на, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: конечности, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: о, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: нижет, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: очень, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: большое, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: давление, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: за, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: счет, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: расщеп, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: весью, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: длинной, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: шей, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: и, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: голова, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: шасеп, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: весю,, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: длинной, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: шей, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: и, Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
Text: голова., Number: 23, Confidence: 0.38, Bbox: [2.6752748489379883, 1839.34619140625, 2286.931884765625, 2468.994873046875]
