Text: Тасманией, Number: none, Confidence: none, Bbox: none
Text: степень, Number: none, Confidence: none, Bbox: none
Text: ближня, Number: none, Confidence: none, Bbox: none
Text: я, Number: none, Confidence: none, Bbox: none
Text: придеш, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: клетку, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: определенный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: данном, Number: none, Confidence: none, Bbox: none
Text: экспер, Number: none, Confidence: none, Bbox: none
Text: линтер, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: зарубленную, Number: none, Confidence: none, Bbox: none
Text: человеческую, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: соблюдение, Number: none, Confidence: none, Bbox: none
Text: все, Number: none, Confidence: none, Bbox: none
Text: остальные, Number: none, Confidence: none, Bbox: none
Text: условия, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: имен, Number: none, Confidence: none, Bbox: none
Text: клетку, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: температура, Number: none, Confidence: none, Bbox: none
Text: мщение, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: туд, Number: none, Confidence: none, Bbox: none
Text: тади, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: добавлять, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: нет, Number: none, Confidence: none, Bbox: none
Text: весь, Number: none, Confidence: none, Bbox: none
Text: мы, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: знаем, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: кове, Number: none, Confidence: none, Bbox: none
Text: измен, Number: none, Confidence: none, Bbox: none
Text: лось, Number: none, Confidence: none, Bbox: none
Text: бы, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: куриных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: шлендра, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: развалят, Number: none, Confidence: none, Bbox: none
Text: установить, Number: none, Confidence: none, Bbox: none
Text: влияние, Number: none, Confidence: none, Bbox: none
Text: методы, Number: none, Confidence: none, Bbox: none
Text: эксперименты, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: наблюдения, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: селезня, Number: none, Confidence: none, Bbox: none
Text: курбет, Number: none, Confidence: none, Bbox: none
Text: противопример, Number: none, Confidence: none, Bbox: none
Text: вещи, Number: none, Confidence: none, Bbox: none
Text: способность, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: прист, Number: none, Confidence: none, Bbox: none
Text: приспосабливаться, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: условиям, Number: none, Confidence: none, Bbox: none
Text: бревна, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Такая, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: быстрее, Number: none, Confidence: none, Bbox: none
Text: Размножение, Number: none, Confidence: none, Bbox: none
Text: стопор, Number: none, Confidence: none, Bbox: none
Text: конидия, Number: none, Confidence: none, Bbox: none
Text: года, Number: none, Confidence: none, Bbox: none
Text: адрес, Number: none, Confidence: none, Bbox: none
Text: противобщуется, Number: none, Confidence: none, Bbox: none
Text: великобритании, Number: none, Confidence: none, Bbox: none
