Text: фенилкетонурии, Number: 28, Confidence: 0.32, Bbox: [0.0, 14.882837295532227, 2296.730224609375, 2551.55126953125]
Text: для, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: того, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: чтобы, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: поветь, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: могут, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: ли, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: справиться, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: клетки, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: человека, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: с, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: вирусом, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: иммунодефицита, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: а, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: если, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: добавив, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: клетку, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: лекарственный, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: препарат, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: то, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: уже, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: не, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: будет, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: понятно, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: справиться, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: сама, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: клетка, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: или, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: нет, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: понятно, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: справиться, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: сама, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: клетка, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: или, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
Text: нет;, Number: 24, Confidence: 0.36, Bbox: [2.097043991088867, 1766.33447265625, 2298.255126953125, 2587.716796875]
