Text: мальчик, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: нашим, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: развития, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: пнистая, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: нет, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: гипюр, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: панамами, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: разнесения, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: редки, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: ги, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: переход, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: -с, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: Рождение, Number: 28, Confidence: 0.90, Bbox: [43.02126693725586, 163.2176971435547, 2303.5390625, 2590.0]
Text: в, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: первом, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: браке, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: ребенка, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: с, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: нормальным, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: развести, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: кисти, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: и, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: гипертрихозе, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: возможно, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: так, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: происходит, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: кроссинговер, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: и, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: образуются, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: красковарные, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: елсходит, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: красинговер, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: и, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: образуют-, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: ия, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: красоверные, Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
Text: заметы., Number: 24, Confidence: 0.47, Bbox: [47.08419418334961, 1887.9774169921875, 2301.184326171875, 2584.795654296875]
