Text: Жираф, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: как, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: континенты, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: ещ, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: в, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: то, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: время, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: не, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: разделились, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: возможно, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: в, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: расселении, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: сумчатые, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: сыграла, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: роль, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: расхождения, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: ареала, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: движущий, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: естественный, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: отбор, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: Они, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: искали, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: что-то, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: новое, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: чтобы, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: развивать, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: свои, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: признаки, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: и, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: свою, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: пришибленность, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: чередовать, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: потомству, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: Поиск, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: пищи, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: также, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: повлиял, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: место, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: где, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: нет, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: конкуренцией, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: еду, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: а, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: место, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: прожива, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: ниях, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
Text: самку, Number: 25, Confidence: 0.32, Bbox: [66.52100372314453, 676.1593017578125, 2295.186279296875, 1887.3931884765625]
