Text: либо, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: опыте, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -де, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: незначительно, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: увеличилась, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: методмикроскопия, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: У, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: вирусов, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: есть, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: каждбелковая, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: оболочка, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: которая, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: вирусы, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: помогает, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: сытить, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: наитие, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: обратной, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: троянские, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: припутаны, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: Когда, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: в, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: образование, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: клетке, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: происходит, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: формирование, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: вирусной, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: век, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: а, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: ринк, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: вируса, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: происходит, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: обратная, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: транскрипция, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: в, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: клетке, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: возникают, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: ошибки, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: (услеция,, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: дупликация, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: ге, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: в, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: челне, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: из-за, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: этого, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: изменяется, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: генетическая, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: информация, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: вирус, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: мутирует, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: Вирусы, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: также, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: быстро, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: распространяются, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: передаются, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: заражая, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: все, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: больше, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: людей, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: Что, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: также, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: усложняет, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: выработку, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: разработку, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: противовирусных, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: препаратов, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: Безусловный, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: суждения, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: при, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: котором, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: отсутствует, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: безразличный, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: изображен, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: на, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: рисунке, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: ж, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: -с, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: В, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: продолговатом, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: мозге, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: расположен, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: центр, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: 2), Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: В, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: продолговатом, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: мозге, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: расположен, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
Text: центр, Number: 24, Confidence: 0.31, Bbox: [36.8738899230957, 2033.2432861328125, 2297.40185546875, 2590.0]
