Text: (22), Number: none, Confidence: none, Bbox: none
Text: Все, Number: none, Confidence: none, Bbox: none
Text: остальные, Number: none, Confidence: none, Bbox: none
Text: параметры, Number: none, Confidence: none, Bbox: none
Text: температура, Number: none, Confidence: none, Bbox: none
Text: освещение, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: до, Number: none, Confidence: none, Bbox: none
Text: оставить, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: изменений, Number: none, Confidence: none, Bbox: none
Text: (23), Number: none, Confidence: none, Bbox: none
Text: аннета, Number: none, Confidence: none, Bbox: none
Text: тестируемый, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: разрушает, Number: none, Confidence: none, Bbox: none
Text: блокирует, Number: none, Confidence: none, Bbox: none
Text: синтез, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: метод, Number: none, Confidence: none, Bbox: none
Text: электронной, Number: none, Confidence: none, Bbox: none
Text: микроскопии, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: обратная, Number: none, Confidence: none, Bbox: none
Text: транскрипция, Number: none, Confidence: none, Bbox: none
Text: синтез, Number: none, Confidence: none, Bbox: none
Text: вирусной, Number: none, Confidence: none, Bbox: none
Text: ринк, Number: none, Confidence: none, Bbox: none
Text: вируса, Number: none, Confidence: none, Bbox: none
Text: прямая, Number: none, Confidence: none, Bbox: none
Text: транскрипция, Number: none, Confidence: none, Bbox: none
Text: синтез, Number: none, Confidence: none, Bbox: none
Text: вирусной, Number: none, Confidence: none, Bbox: none
Text: ринк, Number: none, Confidence: none, Bbox: none
Text: вирусной, Number: none, Confidence: none, Bbox: none
Text: финка, Number: none, Confidence: none, Bbox: none
Text: постоянные, Number: none, Confidence: none, Bbox: none
Text: мутации, Number: none, Confidence: none, Bbox: none
