Text: клетке, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: у, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: анкет, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: есть, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: Жаном, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: попаши, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: сено, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: машин, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: аномалий, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: есть, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: попаши, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: попаши, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: есть, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: есть, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: акое, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: маше, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: родиться, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: возможно, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: браке, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: У, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: -де, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: перво, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: в, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: и, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: перво, Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
Text: в., Number: 28, Confidence: 0.93, Bbox: [7.78400993347168, 116.27034759521484, 2310.0, 2590.0]
