Text: большое, Number: 22, Confidence: 0.45, Bbox: [3.1589040756225586, 41.048091888427734, 2270.059814453125, 733.5223999023438]
Text: имеющего, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: повышенное, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: артериальное, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: сердце, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: чаще, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: качает, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: кровь, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: атлет, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: работа, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: сердца, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: у, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: учащается, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: Таким, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: образом, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: работает, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: симпатический, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: отдел, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: вегетативной, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: нервной, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: системы, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: что, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: приводит, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: к, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: увеличенному, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: объему, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: жидкости, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: в, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: организме, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: если, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: временем, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: не, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: справляется, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: выводить, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: всю, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: что, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: приводит, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: к, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: относе, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: за, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: -де, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: Наиболее, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: древние, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: предки, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: современных, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: да, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: сумчатых, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: обитали, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: в, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: более, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: жарком, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: климате, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: например, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: Африка, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: Такой, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: вывод, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: можно, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: сделать, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: исходя, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: из, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: их, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: вишнево, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: вида, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: года, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: маленькое, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: тело, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: уменьшает, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: площадь, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: поверхности, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: маленькие, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: рождения, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: лапки, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: уменьшает, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: площадь, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: поверхности,, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: маленькие, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: рождения, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
Text: лапки, Number: 22, Confidence: 0.38, Bbox: [44.60652160644531, 718.1511840820312, 2271.5146484375, 2574.05029296875]
