Text: поясе, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: Развитые, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: передние, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: конечности, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: способствующие, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: добывание, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: гностик, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: трава, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: листья, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: ветки, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: Биографическая, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: расселение, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: сумчатых, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: закономерность, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: связана, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: метражом, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: главного, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: материка, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: литосферных, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: плит, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: в, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: следствии, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: действии, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: действия, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: ткано, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: или, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: ядерных, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: толчков, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: земл, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: вия, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: Также, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: биогеографическая, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: закономерность, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: повлияв, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: па, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: на, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: на, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: внешнее, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: строение, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: неко, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: некоторых, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: представителей, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: сумчатых, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: конечности, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: роже, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: Образ, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: жизни, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: артериальное, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: давление, Number: 22, Confidence: 0.32, Bbox: [10.097674369812012, 0.6420807838439941, 2307.489990234375, 1137.4996337890625]
Text: жирафа, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: поступает, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: сердца, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: ганаш, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: длинные, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: объема, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: артериальное, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: давление, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: выполняет, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: долговременное, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: упоение, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: давление, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: выполняет, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: долговременное, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
Text: упление, Number: 24, Confidence: 0.38, Bbox: [15.659904479980469, 1158.7044677734375, 2308.0126953125, 1674.5986328125]
