Text: свою, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: книги, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отц, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутств, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гесперорнис, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: аномалии, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: книги, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: ипп, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: портнихой, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: норм, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: -с, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: б, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: р, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: п, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: а, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: оказыва, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: она, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: зав, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: норм, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развития, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: комкали, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развитием, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутств, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрац., Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: ангария, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развитии, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: норм, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развитие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: книги, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: а, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: брех, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: р, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: д, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: а, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гномами, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутств, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: геспертрих., Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: норм, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: книги, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: с, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: норм, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: Отсутствие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: одна, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: норм, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развит, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: а, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: сущ, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: снимали, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развитие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: кисти, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертруза., Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: аномалия, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: развития, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: книги, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: отсутствие, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: гипертрихоз, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: ответ, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: да, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: возможно, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: рождение, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: мальчика, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: ходя, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
Text: в, Number: 28, Confidence: 0.95, Bbox: [5.859373092651367, 51.14366912841797, 2310.0, 2511.75732421875]
