Text: ся, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рабочему, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: органуслюнным, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: железам, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: слюны, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: после, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: ощущения, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: вкуса, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: пищи, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: органов, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: чувств, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: (языком))., Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: безглавый, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: раздражитель, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: свет, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: лампочке, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: условного, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекса, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: он, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: не, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: на, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: процесс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: слюноотделения, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: На, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рисунке, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: А, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: изображен, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: безусловный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: и, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: отцовстве, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: безразличный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: раздражитель, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: Центр, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: безусловного, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекса, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: инс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: оловом, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: море, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: и, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: обозначен, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: цифрой, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: Безусловный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: отличается, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: от, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: инстинкта, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: тем, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: что, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: безусловный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекс, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: влияет, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: на, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: процессы, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: в, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: организме, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: а, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: инстинкт, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: на, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: поведение, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: особи, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: периферический, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: отдел, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: зрительного, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: анализатора, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: глаз, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: проводниковый, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: отдел, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: зрительного, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: анализатора, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: зрительный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: нерв, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: центральный, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: отдел, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: зрительного, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: анализатора, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: мценск, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: головно, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: головной, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: метеоцентр, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: слюноотделительного, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекса, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: Ичня, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: анализатора, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: (ЦНС,, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: головно, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: головной, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: мочей-, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: Центр, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: слюноотделительного, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: рефлекса, Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
Text: (ЧН), Number: 22, Confidence: 0.32, Bbox: [26.350383758544922, 290.9073791503906, 2308.067626953125, 1922.979248046875]
