Text: тельная, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: могли, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: Африке, Number: none, Confidence: none, Bbox: none
Text: обитать, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Северной, Number: none, Confidence: none, Bbox: none
Text: Америке, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: те, Number: none, Confidence: none, Bbox: none
Text: любых, Number: none, Confidence: none, Bbox: none
Text: странах, Number: none, Confidence: none, Bbox: none
Text: имею, Number: none, Confidence: none, Bbox: none
Text: вих, Number: none, Confidence: none, Bbox: none
Text: тропические, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: субтропические, Number: none, Confidence: none, Bbox: none
Text: климат, Number: none, Confidence: none, Bbox: none
Text: Потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: животные, Number: none, Confidence: none, Bbox: none
Text: имели, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: длинную, Number: none, Confidence: none, Bbox: none
Text: шерсть, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: же, Number: none, Confidence: none, Bbox: none
Text: все, Number: none, Confidence: none, Bbox: none
Text: приспособления, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: обитания, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: таких, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: Можно, Number: none, Confidence: none, Bbox: none
Text: наблюдать, Number: none, Confidence: none, Bbox: none
Text: биогеографическую, Number: none, Confidence: none, Bbox: none
Text: закономерность, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: расселении, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: помощью, Number: none, Confidence: none, Bbox: none
Text: филогенетического, Number: none, Confidence: none, Bbox: none
Text: древа, Number: none, Confidence: none, Bbox: none
Text: Они, Number: none, Confidence: none, Bbox: none
Text: расселялись, Number: none, Confidence: none, Bbox: none
Text: постепенна, Number: none, Confidence: none, Bbox: none
Text: С, Number: none, Confidence: none, Bbox: none
Text: помощью, Number: none, Confidence: none, Bbox: none
Text: ископаемых, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: же, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: изучать, Number: none, Confidence: none, Bbox: none
Text: закономерность, Number: none, Confidence: none, Bbox: none
Text: расселения, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: е, Number: none, Confidence: none, Bbox: none
Text: основе, Number: none, Confidence: none, Bbox: none
Text: летит, Number: none, Confidence: none, Bbox: none
Text: изучать, Number: none, Confidence: none, Bbox: none
Text: закономерность, Number: none, Confidence: none, Bbox: none
Text: расселения, Number: none, Confidence: none, Bbox: none
Text: 3), Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: её, Number: none, Confidence: none, Bbox: none
Text: основе, Number: none, Confidence: none, Bbox: none
Text: летит, Number: none, Confidence: none, Bbox: none
