Text: Задан, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: разработку, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: лекарства, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: так, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: как, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: вирус, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: сна, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: нее, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: обнаружить, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: и, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: что, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: более, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: важно, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: воздействовать, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: на, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: вирусные, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: частицы, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: без, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: повреждения, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: клетки, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: Вторая, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: особенность, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: -с, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: тыемутации., Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: из-за, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: них, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: вир, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: вирусные, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: частицы, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: становятся, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: невосприимчивыми, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: к, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: гаерства, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: Как, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: следствие, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: приходится, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: придумывать, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: новые, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: Задание, Number: 22, Confidence: 0.35, Bbox: [787.454345703125, 29.979022979736328, 2293.572021484375, 656.4073486328125]
Text: -с, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: -де, Number: 22, Confidence: 0.69, Bbox: [43.604434967041016, 15.3970947265625, 2282.525146484375, 677.0037231445312]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: На, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: пискни, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: а, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: Безусловный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: слюноотделения, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: на, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: вице, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: еды, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: А, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: безразличный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: попочка, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: не, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: гори, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: В, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: промежуточном, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: мозге.-центр, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: безусловного, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: рефлекса, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: стонет, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: деления, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: Безусловный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: врожденная, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: реакция, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: организма, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: на, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: какой-либо, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: раздражитель, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: инстинкт, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: же, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: врождеврожденном, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: монтера, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: поведения, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: совокупность, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: релейных, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: рефлексов, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: и, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: действий, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: организма, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: материнский, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: институт, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: например, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: Зрительный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: анализатор, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: глаз, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: видит, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: включенную, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: пам, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: почку, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: эту, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: информацию, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: нервный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: импульс, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: отрывкам, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: чувствительных, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: нейронов, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: попадает, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: в, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: кору, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: больших, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: популяций, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: оттуда, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: по, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: образовавшийся, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: связи, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: в, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: результате, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: выработки, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: рефлекса, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: сигнал, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: поступает, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: в, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: вставочный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: ный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: нейрон, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: гд, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: информация, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: обрабатывается, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: и, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: передается, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: на, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: двигательный, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: нейрон, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: тот, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: в, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: свою, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: очередь, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: посылает, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: сигнал, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: в, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: атомную, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: женку, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: которая, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: и, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: выделяет, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: сложу, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: Задание, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: no25, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: Высокое, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: давление, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: необходи, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: обвес, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: Задание, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: No25, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: 1), Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: Высокое, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: артериальное, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: давление, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: необходия, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
Text: обес, Number: 24, Confidence: 0.34, Bbox: [40.48554611206055, 660.33544921875, 2306.771240234375, 2590.0]
