Text: наврав, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: завуча, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: норм, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: р, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: к, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: нет, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: г, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: зовут, Number: 28, Confidence: 0.35, Bbox: [843.1937255859375, 251.2807159423828, 1800.2728271484375, 489.4886169433594]
Text: а, Number: 28, Confidence: 0.35, Bbox: [843.1937255859375, 251.2807159423828, 1800.2728271484375, 489.4886169433594]
Text: рапа, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: г, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: давка, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: а, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: рак, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: нет, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: г, Number: 28, Confidence: 0.55, Bbox: [1163.0631103515625, 251.7587127685547, 1666.76416015625, 512.3550415039062]
Text: давка, Number: 28, Confidence: 0.35, Bbox: [843.1937255859375, 251.2807159423828, 1800.2728271484375, 489.4886169433594]
Text: поэм, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: г, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: нет, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: в, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: первом, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: браке, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: невозможно, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: развитие, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: рождение, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: ребенка, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: с, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: нормальным, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: развитием, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: пистик, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: и, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: гипертрихозом, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: так, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: если, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: мать, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: будет, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: гетерогамией, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: гетерозиготной, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: по, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: гипертрихозу, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: то, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: в, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: време, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: будет, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: возможно, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: рождение, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: девочки, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: с, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: гипертрихозом, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: а, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: данный, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: признак, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: по, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: условию, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: наследуется, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: гетерогенным, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: Мать, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: -де, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: гнет, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: г, Number: 22, Confidence: 0.41, Bbox: [41.046241760253906, 601.2020263671875, 2305.768310546875, 1505.0474853515625]
Text: норм, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: вк, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: не, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: нест, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: является, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: носительницей, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: гена, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: гипертрихоза, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: поэтому, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: в, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: баране, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: с, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: мужчиной, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: ха, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: арак, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: г, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: не, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: может, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: родиться, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: ребенок, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: с, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: нормальным, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: развитием, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: нети, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: и, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: с, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: гипертрихозом, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: no27, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: -с, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: р, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: а, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: 10000, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: а, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: 0,000, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: частому, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: алла, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: фениистопутии, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: ваал, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: а, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: а, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: част, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: фенотип, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: забав, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: д-р, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: а, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: 0,9999, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: част, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: норм, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: ал, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: ваал, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: Оборотная, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: сторона, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: бланка, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: ЗАПОЛНЯЕТСЯ, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: Попросите, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: дополнительный, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: бланк, Number: 24, Confidence: 0.50, Bbox: [95.77835083007812, 2091.7197265625, 2259.37255859375, 2496.49462890625]
Text: ответов, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: -с, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: а, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: НЕ, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: ЗАПОЛНЯЕТСЯ, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: Попросите, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: дополнительный, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: бланк, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: ответов, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: No, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
Text: 2, Number: 28, Confidence: 0.63, Bbox: [147.01939392089844, 98.47193145751953, 822.58154296875, 452.3271789550781]
