Text: ней, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: клетки, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: вируса, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: в, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: вибрионе, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: из, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: клетки, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: человека, Number: 22, Confidence: 0.38, Bbox: [55.77248001098633, 40.03675842285156, 2284.4169921875, 527.4161987304688]
Text: Задание, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: ав, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: Предки, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: сумчатых, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: обитали, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: на, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: едином, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: материн, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: После, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: деления, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: материка, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: на, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: части, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: они, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: оказались, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: на, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: разных, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: контипептси., Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: Они, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: не, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: могли, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: вирировать, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: по, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: воде, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: глория, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: параллелизма, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: лежит, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: в, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
Text: основе, Number: 24, Confidence: 0.64, Bbox: [29.259815216064453, 494.4633483886719, 2292.47021484375, 1183.390625]
