Text: (2-4), Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: канал, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: глазные, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: яблоко, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: см, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: следующий, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: лист, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: центр., Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: 3., Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: Слюпоотделительные, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: канал., Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: 4., Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: глазны, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: яблоко., Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: СМ., Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: следующий, Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
Text: лист., Number: 22, Confidence: 0.30, Bbox: [69.6166763305664, 23.5282039642334, 2288.129638671875, 806.2080078125]
