Text: недостоверные, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: запертых, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: оология, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: и, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: сыновей, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: за, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: у, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: эвапорация, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: развития, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: листы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: электроход, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: хазавпортальная, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: гипертрихоз, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: зак, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: р, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: а, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: аномалия, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: нормальная, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: писать, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: пет, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: эклектичную, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: развития, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: пнистая, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отсутствие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: неритмичны, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: ы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: генотипы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: фенотипы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: дочерей, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: хахаапоналия, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: развития, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: кисты, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отсутствие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: гипертрихоз, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: хохакормальная, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: мысль, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отсутствие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: гипертрихоза, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: фенотипы, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: становит, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: ха, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: уавакомалия, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: в, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: развитии, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отсутствие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: гипюр, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: толщин, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: паранормальная, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: писать, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отсутствие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: награждения, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: -с, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: да, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: От, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: матери, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: сын, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: с, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: жестком, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: хауса, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: в, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: унаследует, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: сцепленную, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: с, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: апрелем, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: гена, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: определяющим, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: портальное, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: развитие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: кисти, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: а, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: от, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отвоза, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: с, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: супонями, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: образовавшими, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: в, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: результате, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: хромосому, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: просыпаюсь, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: и, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: призов, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: определяющим, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: портальное, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: развитие, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: кисти,, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: а, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: от, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: отоза, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: с, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: аппонями, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: образовавшими, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: в, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: результате, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: Х-хромосому,, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: просыпаюська, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: и, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
Text: пищизов, Number: 28, Confidence: 0.94, Bbox: [34.80352020263672, 9.55748176574707, 2303.375, 2543.92041015625]
