Text: Инструмент, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: рефлекс, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: жизни, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: человека, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: от, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: которого, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: он, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: не, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: может, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: отказать, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Например, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: утром, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: почистить, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: дубка, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: А, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: институт, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: -с, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: это, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: который, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: действует, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: на, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: нас, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: как, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: шестое, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: чувство, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Могу, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: предположить, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: что, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: наиболее, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: древние, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: предали, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: современных, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: сумчатых, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: обитали, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Америке, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: По, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: филогенетическому, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: древу, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: супротив, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: животных, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: мы, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: видим, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: что, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: в, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Южной, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Америке, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: обитали, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: древние, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: предки, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: сумчатые, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Южной, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: Америке, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: обитали, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: древние, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: предки, Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
Text: сушчатык., Number: 24, Confidence: 0.43, Bbox: [8.051759719848633, 776.7105102539062, 2258.768798828125, 1315.086181640625]
