Text: действии, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: коре, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: больших, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: полушарий, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: из, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: коры, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: больших, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: полушарий, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: нервный, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: импульс, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: передается, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: зону, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: продолговатом, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: ключе, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: регулирующую, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: пищеварительные, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: процессы, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: нервный, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: импульс, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: посылается, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: к, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: слюнным, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: железам, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: и, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: они, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: вырабатывают, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: шлюпу, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: -де, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: -с, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: У, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: жирафа, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: очень, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: длинная, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: шея, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: из-за, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: чего, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: при, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: малом, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: и, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: давлении, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: достаточно, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: для, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: питания, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: мозга, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: крови, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: не, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: доходило, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: вы, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: за, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: него, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: благодаря, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: высокому, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: давлению, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: кровь, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: может, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: подниматься, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: так, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: высоко, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: -с, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: Соединительная, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: ткань, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: вокруг, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: капилляров, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: с, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: большой, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: плотностью, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: позволяет, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: капилляром, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: не, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: повреждаться, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: капилляром, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: -де, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: из-за, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: высокого, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: давления, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: кровей, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: см, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: пист, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: кровей, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: см, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: пист, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
Text: в, Number: 24, Confidence: 0.54, Bbox: [13.979799270629883, 1962.7220458984375, 2279.99072265625, 2585.671142578125]
