Text: котировочные, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: качестве, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: своего, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: варианта, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: постановки, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: отрицательно, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: го, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: контроляпредлагаю, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: убрать, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: тестируемый, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: препарат, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: а, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: все, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: остальные, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: параметры, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: оставить, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: без, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: изменений, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: -с, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: Эльзас, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: м, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: х, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: голово, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: вирусных, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: частиц, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: осталось, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: неизме, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: ным, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: не, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: считая, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: начетническую, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: погрешность, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: -с, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: Установить, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: влияние, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: препарата, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: на, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: целостность, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: вирусных, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: частиц, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: возно, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: благодаря, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: холоду, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: дипломатически, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: -с, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: На, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: усложнение, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: разработки, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: противовирусных, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: препаратов, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: влияют, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: следующие, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: факторы, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: адаптивность, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: к, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: новым, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: условиям, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: Высокая, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: скорость, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: размножения, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: благодаря, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: которой, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: на, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: стеку, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: одним, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: особым, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: приходят, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: другие, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: приспособленные, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: к, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: новым, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: ные, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: к, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: новым, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
Text: условиям, Number: 22, Confidence: 0.82, Bbox: [64.4950942993164, 58.59743881225586, 2291.7529296875, 1338.336669921875]
