Text: пестики, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: кисти, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: А, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: также, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: красковарная, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: полученная, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: в, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: результате, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: кроссинговера, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: хранила, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: отца, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: с, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: двумя, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: рецессивные, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: мелями, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
Text: заболеваний, Number: 28, Confidence: 0.54, Bbox: [1.6134147644042969, 2.791983127593994, 2309.4072265625, 1102.6900634765625]
