Text: институт, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: Обработка, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: информации, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: в, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: икс, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: вставочный, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: нейрон, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: Двигательный, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: нейрон, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: Рабочий, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: орган, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: калюжа, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: железы, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: no25, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [42.35139846801758, 0.15048575401306152, 2231.275634765625, 604.9549560546875]
Text: Высокое, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: артериальное, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: давление, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: в, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: сонных, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: артериях, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: жирафов, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: наблюдается, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: за, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: счет, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: длинной, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: шей, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: которая, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: влияет, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: давление, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: Соединительная, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: ткань, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: в, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: конечностях, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: у, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: жирафов, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: вокруг, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: капилляров, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: имеет, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: большую, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: плотность, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: чем, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: у, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: человека, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: из-за, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: давления, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: жирафа, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: давление, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: больше, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: чем, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: у, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: человека, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: поэтому, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: стенка, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: капиталов, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: толще, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: для, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: того, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: чтобы, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: выдерживать, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: большое, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: давление, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: При, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: длительном, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: патологически, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: повышенном, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: артериальном, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: давлении, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: может, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: возникать, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: отечность, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: нижних, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: конечностей, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: так, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: как, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: кровообращение, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: будет, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: замедляться, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: за, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: счет, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: повышение, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: артериального, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: давления, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: тем, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: самым, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: будет, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: нарушаться, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: работа, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: лимфатической, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: системы, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: вызывая, Number: 23, Confidence: 0.32, Bbox: [51.28569412231445, 609.5610961914062, 2296.76708984375, 1960.558837890625]
Text: оттекли, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: no26, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: -с, Number: 24, Confidence: 0.45, Bbox: [40.83456039428711, 617.7217407226562, 2284.338623046875, 1974.470947265625]
Text: Наиболее, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: древние, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: предки, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: современных, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: сумчатых, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: животных, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: обитали, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: в, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: Южной, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: Америке, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: сумчатые, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: животные, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: приспособлены, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: к, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: теплому, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: сухому, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: жаркому, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: климату, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: жаркому, Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
Text: климату., Number: 24, Confidence: 0.75, Bbox: [35.35877990722656, 2023.67431640625, 2292.736572265625, 2574.857421875]
