Text: рефлекса, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: безусловного, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: рефлекса, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: Элементы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: рефлекторной, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: душ, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: фоторецепторы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: на, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: сетчатке, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: глаза, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: колбочки, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: и, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: палочки, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: чувствительный, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нейрон, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: зрительный, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: перв, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нейроны, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: передающие, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: сигнал, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: от, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: сетчатки, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: глаза, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: до, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: блинного, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: мозг, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: В, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: сбавочный, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нейрон, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: серое, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: вещество, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: блинного, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: мозга, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: Двигательный, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нейрон, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нейрон, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: передающий, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: сигнал, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: вставочного, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нейрона, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: до, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: слюнной, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: железы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: Рабочий, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: орган, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: слюнные, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: железы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: no25), Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: Жирафы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: имеют, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: больший, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: рост, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: по, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: сравнению, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: с, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: человеком, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: и, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: чтобы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: доставить, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: кровь, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: до, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: головы, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: головных, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: органов, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нар, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: сердцу, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: парафа, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нужно, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: жарафа, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
Text: нужно, Number: 24, Confidence: 0.32, Bbox: [58.771080017089844, 1719.316650390625, 2265.136962890625, 2588.622314453125]
