Text: папа, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: организм, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: сам, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: боролся, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Иначе, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: у, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: него, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: не, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: буреет, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: иммунитета, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: к, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: данному, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: вирусу, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Отрицательный, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: контроль, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: не, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: заражать, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: клетки, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: человека, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: вирусом, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Остальные, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: параметра, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: оставить, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: неизменном, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: а, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -де, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: главное, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: отличие, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: инстинкта, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: от, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: безусловного, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: рефлекса, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: заключается, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: в, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: том, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: что, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: инстинкта, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: деятельность, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: веется, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: сложных, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: нейрогуморальных, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: функций, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Безусловный, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: реле, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: синоноотремения, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: и, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: отсутствует, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: безразличный, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: раздражитель, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: на, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: а, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: реакторный, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: центр, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: расположен, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: в, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: спинном, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: козочек, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -де, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: имеют, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: более, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: плотную, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: жирафы, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: соединительную, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: ткань, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: конечностях, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: так, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: у, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: жирафов, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: по, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: примерам, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: интенсивнее, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: цвет, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: транспорт, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: веществ, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: -с, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Отечность, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: нижних, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: конечностей, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: может, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: быть, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: из-за, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: смешка, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: избыточного, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: содержание, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: десь, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: в, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Болезнь, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: шпфтония., Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: содержание, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: вдесь, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: в, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: организме., Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: Болезнь, Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
Text: шпфтония., Number: 24, Confidence: 0.46, Bbox: [42.80291748046875, 1844.510009765625, 2280.721923828125, 2588.837646484375]
