Text: до, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: РАЗВИТИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ности, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: да, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: развития, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ности, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: дунет, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: АНОМАЛИИ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: РАЗВИТИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ахах, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: хунт, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: АНОМАЛИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: РАЗВИТИЯ, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: Нет, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: Аномалии, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: кости, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: развития, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: кисти, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ах, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
Text: ах);, Number: 28, Confidence: 0.48, Bbox: [19.825834274291992, 483.03765869140625, 2310.0, 2590.0]
