Text: поэтому, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: на, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: свет, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: импульс, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: по, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: зрительным, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нервам, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: передается, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: в, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: заднюю, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: долю, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: коры, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: головного, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: мозга, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: образование, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нейронов, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: связи, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: между, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: до, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: этого, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: безразличным, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: раздражителем, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: и, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: пищевым, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: освет, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: информация, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: доходит, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: до, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: продолговатого, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: мозга, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: в, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: слюноотделительный, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: отдел, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: двигательные, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нейроны, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: выделение, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: шлюпы, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: задание, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: у, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: жирафа, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: длинная, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: шея, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: -с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: более, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: длинный, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: путь, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: кровеносных, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: сорус, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: кислородом, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: дов, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: от, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: сердца, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: до, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: мозга, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: чтобы, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: кровь, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: достигл, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: до, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: мозга, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нужно, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: проводить, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: ее, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: по, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: сонной, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: артерии, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: с, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: большим, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: давлением, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: Когда, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: кровь, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: попадает, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: в, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нижние, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: конечности, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: она, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: имеет, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: пониженное, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: давление, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: Чтобы, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: кровь, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: обратно, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: поднялась, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: к, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: сердцу, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нужно, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: понизить, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: давление, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: грудной, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: полости, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: а, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: в, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нижних, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: она, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: повысится, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: сердцу, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нужно, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: по-, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: низить, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: давление, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: в, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: грудной, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: полости, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: а, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: в, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: нижних, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: она, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
Text: повысится, Number: 24, Confidence: 0.40, Bbox: [18.285531997680664, 1772.274169921875, 2301.2158203125, 2590.0]
