Text: новые, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: давав, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: удв, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: харь, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: ехав, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: д, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: Я, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: намаялся, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: харь, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: зуав, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: а, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: гипертрихоз, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: аномалия, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: халву, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: АВ, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: в, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: в, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: харь, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: хар, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: абр, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: х, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: 390рсв., Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: гипертрихоз, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: задав, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: -де, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: ров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: -де, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: раздать, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: -де, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: неодолим, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: харь, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: буль, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: в, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: разбавят, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: забодав, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: б, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: дворов, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: верев, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: ехав, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: гипертрихоз, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: spake, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: возможно, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: б13, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: доров, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: 390рев, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: хав, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: усь, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: здоров,, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: гипертрихоз, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: Spake, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
Text: возможно, Number: 28, Confidence: 0.66, Bbox: [104.20728302001953, 97.71829986572266, 2310.0, 2527.587158203125]
